fid,username,reply_count,address,amount,total,points
428341,onbloaded,349,0x60ba240114b825f676d11cc178409cc9c385171c,133618386,25000000000,10
528707,ghostbo4.eth,334,0x3985c2be4100046cb20506ff60cde2039a505d3d,133618386,1871,10
12921,jessyjeanne,261,0x03bcaa09334df40713bac77bf98abafadce4d38a,133618386,,10
248111,darkoh.eth,249,0x23018edbfa176bde3dffd5037b206d147f3e3c9f,133618386,,10
194372,roadu,210,0x4a91f2bf3ade1965f979779d78074ab4f6f93795,133618386,,10
375245,chasesommer,209,0x775eb0d9fcfd702aeb8fec41a9e9e690c92230fc,133618386,,10
510796,drrrner.eth,202,0x15fee2bbfe532345c7deb437636df7b9251f40d7,133618386,,10
2802,garrett,191,0x01b4a4543d6d06307a501029bc1cb6bc3abd039c,133618386,,10
14364,purp,179,0x56f7b249226310369b4d26f6ad4f598317e7b03f,133618386,,10
446441,yaboyolgreg,174,0x09116862e7df2c614da9bcf428f3fd8751962782,133618386,,10
296187,bestcryptotwits,166,0x5801f43f77b125bed1fecdebdb844044ef10a46b,133618386,,10
15351,0ffline,160,0x59c6104e9b280a4b5d50103d300cdabb8640c3a9,133618386,,10
1024900,luvndu,150,0x0be1d4f237b75fa4aa2e08dfc6cc2c97a796f332,133618386,,10
256931,catch0x22.eth,149,0x16047617d7e4dddab60a12e5d53cf483162b9c5b,133618386,,10
395346,lambchop,148,0x4f96e16c10a0bcb004d5b9f5e6198d27dc74c711,133618386,,10
20384,itsbasil,143,0x26c54b22c0de506123fc22eff1fe8be005315622,133618386,,10
9933,m00npapi.eth,142,0x38b2bac6431604dffec17a1e6adc649a9ea0efba,133618386,,10
1606,samantha,142,0x0072a1268b25ca0dbb47134915808f7fafe36280,133618386,,10
21024,terricola.eth,140,0x11d0583eeb1877ef3b449501f4101e85a5c3fbe8,133618386,,10
253127,bleu.eth,138,0x2e19f22c62456f90f3d05be54462a1847d353165,133618386,,10
412843,superbuu.eth,137,0x219af85434364408a5303e62bede175b70f71848,133618386,,10
269694,bitfloorsghost.eth,135,0x131d267c8fba64fe47346fa8da4d5bc23040ece2,133618386,,10
2210,kenny,134,0x0e467a0288a439ba2678eb7d3b0b64b01e2bbbfc,133618386,,10
1407,zinger,130,0xafca747b067c40ae0dda3f170ae971a2cbf4d05c,133618386,,10
271142,knny,128,0xa06a76b93f6b60acbc0e107e2a6c80af717f571a,133618386,,10
13874,thedude,127,0x2a15b70605812d5b97ac7de7d116256fdf0e58aa,133618386,,10
415872,boothtempleton.eth,124,0x21c5a5094aea8173801a30438a7b7a0f979227ff,133618386,,10
2134,kazi,124,0xa7b17ba184dd5192ea4eb2c4514129d1912368b5,133618386,,10
6596,king,120,0x777a48f3210709805a9fa457f7c86061e1334f89,133618386,,10
214447,yes2crypto.eth,117,0x4bf88042de0220647acb314af3c5f310aec3bcc0,133618386,,10
1057944,noicebot,116,0x814065985b517422216923220737b349840ad50d,133618386,,10
439610,rosekeyes,114,0x75e6b9c57b8d1a136ef6970305dcd20a53581aba,133618386,,10
292642,ceej,114,0x2201a545a6862f7a41d8bf90a30c7de6a9624a27,133618386,,10
473065,wetsocks.eth,113,0x12d1991cabe742d25ffe637c2351f0e9edf0263e,133618386,,10
1355,bias,113,0x58d205f9d265399f5e68b783162d9508c0469bdf,133618386,,10
237973,fffflood,112,0x317caa9df65c7ed4e0bdc47244ea8a318a89225a,133618386,,10
423827,derpin.eth,106,0x49a9589225ca3371f38e1b8f908715c41d94228c,133618386,,10
395131,cristianisbased.eth,105,0x0a3e5705a2acfa47ae86122eeac7dced7dcdbb4a,133618386,,10
1020654,jimmynorules,103,0x85582da214490dacea50061f88873bf9f46d74a9,133618386,,10
390829,gusa,103,0x701493ae6c7c2927941e82fc0d8caec65ec44bbb,133618386,,10
243300,yonfrula,101,0x78b2de47fe499e0a6f7a67dbf965b8ec765d2d9d,133618386,,10
199989,hellodanimo,101,0x3a792292696f5956e3f527add6630f6c4ad61546,133618386,,10
533,alexpaden,99,0x11c47bb644cbaa54c7bc651d46b9b399da832171,66809193,,5
19832,thief,97,0x83179fdaa28fbb4ad86b02e59eb3c7b0cf51e004,66809193,,5
4407,keccers.eth,97,0xa2fe1d4145443ebc027f15c9f7ca27f7e9fd5f33,66809193,,5
312016,mikos32.eth,94,0x00ff3639e43be31352b35e3d2117290968009399,66809193,,5
1103506,callguy,93,0x92650ea5154be475db55090c7ce85b999c53ae84,66809193,,5
509624,toyboy.eth,93,0x2efcce22a3f385da42c60f4064223c79cfa73d48,66809193,,5
264608,blankton.eth,93,0x4e244057c272412fdc46b950721e955070a6d291,66809193,,5
20270,erica,92,0x18fc3c60a80ba26a076cf633c239df0e2e80a797,66809193,,5
1142406,ruxxx,90,0x3d2278a6c98c4a8aa9e39ddad8d28fcdc4bbbe3e,66809193,,5
203751,thosmur,89,0x5df0f96c5de9f03d5d1678656da0b4b5b0647ce1,66809193,,5
247238,shiiiiison.eth,88,0x1db2f40042d20e485032a652672f334ffe404e61,66809193,,5
862185,aethernet,86,0xd9e1b1a9d5dcc1869beac6712959c2b88473c0ec,66809193,,5
209951,swishh.eth,86,0x09ca6926f0a1fa30ddc04710db2d89ec0d73b608,66809193,,5
5494,jachian,86,0x8a5827705d3c7a27864086e2d10f7e0f233e6b7a,66809193,,5
387719,drishka.eth,85,0x37ce108b30b3b6139ee3597a9d9732a2554a4ec6,66809193,,5
352723,retake,85,0x58086efa879227c34937897e402cbabcfb02214d,66809193,,5
864405,bertwurst.eth,82,0x54baf178434c9b5f9fcd983b53b8d9e2e215941e,66809193,,5
7464,spitfunkolips.eth,82,0x766cff337c26bb10bd957ad82914571d9fd95109,66809193,,5
7143,six,81,0x44b1b486ce8d9c82f605626347a7b1f74add11de,66809193,,5
18570,qt,80,0x198109b0d2c786a230d18b622d3b7a1946131e09,66809193,,5
3621,horsefacts.eth,80,0x075b108fc0a6426f9dec9a5c18e87eb577d1346a,66809193,,5
3652,aqueous,79,0x010a7030226b48929fcd5cef8a4fcb95b574a2d9,66809193,,5
7212,bbroad,75,0x24c199bf66cd56e58097642daa84c9f4cad22358,66809193,,5
10215,zoo,74,0x14074a4dc440230523a9fb7a0ce6934a6118e7c6,66809193,,5
1356,farcasteradmin.eth,74,0x8d5044d9ee7cec41eeebef12b749e62e2ab9f131,66809193,,5
424372,depressivehacks,73,0x1705da1d1279bf377cf1acfdb4ec30f37a4607d4,66809193,,5
4895,matthewb,73,0x334d080349da9cfa602442968483b761defa5bf7,66809193,,5
385571,theyvied,72,0x0152cdbb6200f88034debeeb0214d1cba85adaab,66809193,,5
18077,justalexty,72,0x44e22a6343ab0da7528f2f78e266d108a563bf47,66809193,,5
5713,streetphoto,72,0x01a29134723ef72a968838cb1df498bc4f910bec,66809193,,5
263333,clfx.eth,69,0x310f92fdb4e499cfa8146c86e0e1ad5ce9e36a4b,66809193,,5
628616,leonard-fuu,68,0x7b2e30669fccb7de8e1044b8795cc2e9e4a3e5b3,66809193,,5
392444,stiickz,68,0x3f3c44b8a189c7c67e067ae84d3d68819aff3f6f,66809193,,5
528,0xen,68,0x333d0ebc54707c0a9d92cac749b3094c28a0e111,66809193,,5
4167,nounishprof,67,0x554aaa13361123c45dae97b4155dfce5827e39cf,66809193,,5
2904,wake,66,0x26a8593ddfa481e8ed4121cde60248e411e18572,66809193,,5
4877,trish,65,0x5f8b9b4541ecef965424f1db923806aad626add2,66809193,,5
1105154,coconutrinds,64,0x534cd9ec464ed92f0aac20a26e00449e4b9533c6,66809193,,5
18723,brixbounty,64,0x0503225c1dc0cdff3a2ebb33b5d95f20abb38298,66809193,,5
320189,drakhonen.eth,63,0x11bc6e6e4739c24332c5d384f939f2da3c06b130,66809193,,5
16098,jpfraneto.eth,62,0x9286b4549fdbfefd9d117046c7ec93b635f509c5,66809193,,5
310531,koolkheart.eth,60,0x5df895914305eea293e8eea65313b43e85aa5cad,66809193,,5
239748,vlady,59,0x0217384f14cf17bfcc5fb20a2a40ec4533001d54,66809193,,5
914063,poolanger,58,0x5f47c17aa174b18945602252ab798058417c3ef6,66809193,,5
339302,blankyname,58,0x2a9ee816aa628399eb43e139f664ee2257e6a0a1,66809193,,5
12457,obxium,58,0xd36366c2adb25798c9a89acc15abb29ca1987a92,66809193,,5
4375,resipsa,58,0x0d74d273a4d2971e7cb8e7acb25ccfe149e37465,66809193,,5
318849,mrfuego.eth,57,0x01f4656464aa02e10a48b2e3ee8117749f1cabea,66809193,,5
12778,bigtone.eth,57,0x38b292f9c0fb38d71fff9f9c30c37f33eccf5387,66809193,,5
4294,tricil.eth,57,0x12239fcdff8cd48c24661d3c4243ce33ceb2e273,66809193,,5
434955,akins,56,0x4ef3b8c54c57a8f7fff4ae5d74e4581246d1c714,66809193,,5
410023,gandhionchain.eth,56,0x049a2abf43e8224530bc272d28a2de3090ecfa69,66809193,,5
1054326,husnahhh,55,0x2820fba0978b2ffb9fda4021ca44f652b8bd1519,66809193,,5
1050449,wtfken,55,0x1fd5402d8036087e2710dc0e049d20a552a00ed3,66809193,,5
7715,royalaid.eth,55,0x599e2446ae259371635bc058a7e17c099cea81a4,66809193,,5
499783,tako-unik,54,0x0de1bf69e2c04e6cb948cb51bc70e13d159a0917,66809193,,5
13201,herbaycity,54,0x039de7ace9182dd48b320d9f7b4efa12a818fdb7,66809193,,5
10144,johann,54,0x359319afda2f342b347506c3320158a59fce735f,66809193,,5
6806,dawufi,53,0x0964256674e42d61f0ff84097e28f65311786ccb,66809193,,5
2745,stevedv.eth,52,0x34db35639eafe2712ae1f69dfa298b06a5c25053,66809193,,5
1725,sayangel,52,0x88d0e89e7f502aa49a564b683e19089c771776c3,66809193,,5
248216,sartocrates,51,0x67a962ddbeabe4b6c5228796bcdeca2d2e9af395,66809193,,5
13659,entropybender,51,0x671e672f33504cc36da20368c08bdee440aec4cd,66809193,,5
6591,mattlee,51,0x17cedb09bf3b107c3c16f3183d35009da85d8b08,66809193,,5
282672,alinaferry,50,0xaf2fd097ddd5c0961ffc2b0baa36f335c075d450,66809193,,5
10178,owl,50,0x10c8f319a8cb68603e3f6b9e94b4e809fc95eae0,66809193,,5
1086985,yema,49,0x325ea71cfdd29d4c22ab97c6d1153334ab20c108,26723677,,2
240586,goldytalks,49,0x09ddd6b4adc3ea697150432977af1c34a5b37bba,26723677,,2
1047223,nafeeesah,48,0x0b88ff8cd9977de4251ae86d58da8086d34f42cd,26723677,,2
627306,iq313,48,0x235d2c272d29c770d0e3b1057b1ea51d0444a78b,26723677,,2
481945,mohammadkhan,48,0x03a871e18c8ff3266533b4cc1a977fb7d11b5dbc,26723677,,2
311933,burr.eth,48,0x2a06731ae9c878a6e314010987627642a92452a9,26723677,,2
238370,nomygod.eth,48,0x1404ea25c5f45012239eccf1f00b7bd08c0657e7,26723677,,2
905712,retalien,47,0x60c180801c2b4b2dcea88fced7c6aa5b71a45f24,26723677,,2
646397,trizsamae,47,0x5de65272846059efe0120f93e384bd5bcb738dcd,26723677,,2
264194,raccoontrading,47,0x922e80f88cb9df4c45977f5e7d746a357df264d4,26723677,,2
193,derek,47,0x605e05bf092ebd18e06d1b0f699df5b9dd85d452,26723677,,2
467181,iamrav3n,46,0x19c58dde4269938145e74556ef24019a63ca9fb1,26723677,,2
371154,writingtheremedy,46,0x4599e08a0bc2a4dd4fac2162b6632323e12496a9,26723677,,2
198783,hammallama.eth,46,0x68933aad0492f5eb8715484d55ac2239c1f374fd,26723677,,2
15850,christin,46,0x2d240c5d58a8445e99dadf3fd41a492dfeaf7e4c,26723677,,2
862173,shairaaa,45,0xc1e345fa21e9178f8eec9c80b55028f70cb1b49c,26723677,,2
850823,ayeeshaxoxo,45,0x3b4ac5a91bcbbb8ef1a121a6c864717b1279573c,26723677,,2
291971,megajayar.eth,45,0x0305c2076561d05e177319c07e0808bca5a220b0,26723677,,2
1117860,sunrisebaby,44,0x172a139d62b59897b01cb409d5251105203d3313,26723677,,2
422910,ciberdelia,44,0x2149860637e2272b1fd423ac8de86d8462dd4903,26723677,,2
270504,proxystudio,44,0x689ecdd6221d989863178fe2de6db94195a856c2,26723677,,2
11760,na,44,0x5e8fcbfc909c298197f49c757556d639fa01df21,26723677,,2
461719,highplains66,43,0x1a2f6148d9ec9fbad40e5116e1cf118713013307,26723677,,2
436728,olystuart,43,0x209296518bffe5f06cb7131d85764d0339b21f1a,26723677,,2
432964,pablo9678a,42,0x2c9013013b7c762cb7f3910f1dab68c641f77bac,26723677,,2
1048093,timoverse,41,0x22dac1ee1fc2e040fcbc71e83127ad5dddb9854a,26723677,,2
431880,basement5k,41,0x496505251a17845a2714a0d89e91475dc1d79b30,26723677,,2
263664,oppai,41,0x0260d1d864e9a8864ae0d0e42245729a1b232ae6,26723677,,2
876106,jort-user.eth,40,0x84a709cae8e37dfe8f9deea40ee313a588f4ee54,26723677,,2
722082,petex,40,0x1dc083e76b7caaf33ab9687bd89b179db1b76f51,26723677,,2
644823,0xkesha,40,0x0e717b98ae207595db53f961efb25c52a0d126c7,26723677,,2
423406,ruburi,40,0x477b7fcf2879fbeecb83781509a4ef73d9d84ed4,26723677,,2
193826,pauline-unik,40,0x15139afa1913005b8e1b1dd48c5f7f7bb4ec0ad9,26723677,,2
518129,danfaje.eth,39,0x6b26b2dfeef1606be2d5f89fef9e778e85ec2f78,26723677,,2
4282,matthewfox,39,0x53d529b0a809717ce1586bd6e397eace7e44f5ef,26723677,,2
1050,0xdrog,39,0x9c106370424c453ecb9b9cdd9c13530ba63ea1c9,26723677,,2
1046968,breadsticks.eth,38,0x4a6dab33452dd59d5e1d2078a0aca508c8a649f9,26723677,,2
394023,dexxcuyy.eth,38,0x9f1654a3954737697eb16612388090dfedd8ddd0,26723677,,2
11528,jrf,38,0x10676738db9601c5af144a17c3a48c8ebda7e353,26723677,,2
2211,commstark,38,0x0de290f9717764641b9694c246338a477cff9543,26723677,,2
914368,tomkey,37,0x8d888326e1e2b6a399b751105339f82476208d5d,26723677,,2
221578,apex777.eth,37,0x19f49e0096c1c0c4fa722ba2171d6da18e9f3702,26723677,,2
190218,icetoad.eth,37,0x03a5899e1088dd9a64c3b9d404482e75df8679c5,26723677,,2
5774,tldr,37,0x56f6b5c392774b7b62d6f62522a74b6af759e421,26723677,,2
680,woj,37,0x58fe7e684650eebc7b1fdaea33c67961dd2e6c0e,26723677,,2
412,joeblau,37,0x3abc39224e69b51fc4f845a8fcdfa2ff91e50bbc,26723677,,2
943967,solrobert,36,0x20eb37360c8f761a224baa3aebc2f34b83e7d39b,26723677,,2
490980,magiceden,36,0x5df0ce6a3f59dca6f5dc8c29699a8b851fab8651,26723677,,2
617,cameron,36,0x19ce57b670121e73e43be6c2fea5c254bb4c8760,26723677,,2
